Agency County,Agency Name,Type of Tax/Debt,Amount of Bond/Tax,Purpose,Measure,% Yes,% No,Result (Pass/Fail),Threshold,Election Year,Election Type,Election Date
Sierra,Sierra City Fire District,PLF Debt,Parcel Tax: Levy tax of $100/parcel for paramedic and emergency medical services in tandem with the Downieville Fire Protection District.,"Fire, Police Protection/Emergency Medical",B,71.51,28.49,Pass,Two-thirds,2018,Primary,6/5/2018 0:00
Tuolumne,South County Ambulance Zone of County Service Area No. 21,PLF Debt,Parcel Tax: Renew and raise existing tax from $70/parcel to $90/parcel tax for emergency medical services for 5 years.,"Fire, Police Protection/Emergency Medical",L,69.49,30.51,Pass,Two-thirds,2018,Primary,6/5/2018 0:00
Mono,Mammoth Lakes Fire Protection District,PLF Debt,"Parcel Tax: Impose a flat parcel tax of $79 on all taxable parcels in fiscal year 2018-2019, and then adjusted in following years based on the Bureau of Labor Statistics Consumer Price Index.","Fire, Police Protection/Emergency Medical",A,60.37,39.63,Fail,Two-thirds,2018,Primary,6/5/2018 0:00
Kern,California City,PLF Debt,Parcel Tax: Renew existing tax not to exceed rate of $150/parcel.,"Fire, Police Protection/Emergency Medical",B,54.8,41.2,Fail,Two-thirds,2018,Local,4/10/2018 0:00
Lake,Northshore Fire Protection District,PLF Debt,"Parcel Tax: Replace existing special property tax for Lucerne, Nice, Upper Lake Fire and Clearlake Oaks Fire with a special property tax of $4 per benefit unit per year.","Fire, Police Protection/Emergency Medical",E,54.1,45.9,Fail,Two-thirds,2018,Local,4/10/2018 0:00
San Bernardino,Barstow,PLF Debt,Sales Tax: Levy additional tax of 0.5% (1/2-cent) for fire protection and paramedic services.,"Fire, Police Protection/Emergency Medical",J,65.24,34.76,Fail,two-thirds,2017,Local,11/7/2017 0:00
San Bernardino,Victorville,PLF Debt,Sales Tax: Levy additional tax of 0.5% (1/2-cent) for fire and police services.,"Fire, Police Protection/Emergency Medical",K,61.68,38.32,Fail,two-thirds,2017,Local,11/7/2017 0:00
Humboldt,Humboldt County Resort Improvement District No 1,PLF Debt,"Parcel Tax: Increase annual parcel tax by the following amounts: $74/vacant parcel, $100/private residential parcel, & $225/commercial parcel to fund the Shelter Cove Fire Dept.","Fire, Police Protection/Emergency Medical",B,67.43,32.57,Pass,two-thirds,2017,Local,11/7/2017 0:00
Calaveras,Central Calaveras Fire & Rescue Protection District,PLF Debt,Parcel Tax: Levy an annual tax of $75 per parcel to fund fire services and EMS.,"Fire, Police Protection/Emergency Medical",E,60.4,39.6,Fail,two-thirds,2017,Local,11/7/2017 0:00
Humboldt,Blue Lake Fire Protection District,PLF Debt,"Parcel Tax: Levy increased annual tax of $75/vacant parcel, $125/single-family residential parcel, $175/rural residential parcels, between $250 & $300/multi-family parcels, $300/commercial parcel, & $400/industrial parcel for the Blue Lake Fire Protection District.","Fire, Police Protection/Emergency Medical",Y,53.58,46.42,Fail,two-thirds,2017,Local,11/7/2017 0:00
Plumas,Eastern Plumas Rural Fire Protection District,PLF Debt,"Parcel Tax: Levy annual tax of $65/parcel, adjusted according to the consumer price index.","Fire, Police Protection/Emergency Medical",C,46.97,53.03,Fail,two-thirds,2017,Local,11/7/2017 0:00
Sacramento,River Delta Fire Protection District,PLF Debt,Parcel Tax: Levy an annual tax of $85/residential unit indefinitely.,"Fire, Police Protection/Emergency Medical",S,77.3,22.7,Pass,two-thirds,2017,Local,8/29/2017 0:00
Placer,Foresthill Fire Protection District,PLF Debt,Parcel Tax:  Impose annual tax of $180/parcel to maintain emergency response and fire protection.,"Fire, Police Protection/Emergency Medical",B,61.8,38.2,Pass,two-thirds,2017,Local,7/11/2017 0:00
Placer,Penryn Fire Protection Distirct,PLF Debt,"Parcel Tax: Impose annual tax of $240/residential unit, $75/vacant parcel, and $0.10/commercial building sq. ft.","Fire, Police Protection/Emergency Medical",A,79.51,20.49,Pass,two-thirds,2017,Local,7/11/2017 0:00
Kern,California City,PLF Debt,Parcel Tax: Extend existing tax for another 3 years.,"Fire, Police Protection/Emergency Medical",B,46.16,53.84,Fail,two-thirds,2017,Local,6/6/2017 0:00
Plumas,Portola,PLF Debt,Parcel Tax: Repeal existing special fire protection tax & establish new annual parcel tax to fund fire protection and emergency response services.,"Fire, Police Protection/Emergency Medical",B,35.53,64.47,Fail,two-thirds,2017,Local,6/6/2017 0:00
Monterey,Greenfield,PLF Debt,Parcel Tax: Adopt tax without expiration to ensure fire and emergency medical services for the community.,"Fire, Police Protection/Emergency Medical",C,68.28,31.72,Pass,two-thirds,2017,Local,5/2/2017 0:00
Madera,Madera County,PLF Debt,Sales Tax: Impose sales tax of 1% in unincorporated areas of the county for public safety services for 20 years.,"Fire, Police Protection/Emergency Medical",L,44.67,55.33,Fail,two-thirds,2017,Local,3/7/2017 0:00
Los Angeles,Cudahy,PLF Debt,"Parcel Tax: Impose tax of $139/parcel for single-family & unimproved property, $181/multi-family units, & from $1,550 to $49,600/parcel for industrial and commercial property for 5 years to fund police protection services.","Fire, Police Protection/Emergency Medical",PS,26.47,73.53,Fail,two-thirds,2017,Local,3/7/2017 0:00
Los Angeles,Palos Verdes Estates,PLF Debt,Parcel Tax:  Extend an expiring parcel tax of $342.34/parcel plus $0.196073/sq. ft. of building improvement for fire and paramedic services for 12 years. The measure also allows for annual adjustments of up to 6.2%.,"Fire, Police Protection/Emergency Medical",D,59.92,40.08,Fail,two-thirds,2017,Local,3/7/2017 0:00
Lake,Lake County Fire Protection District,PLF Debt,"Parcel Tax: Repealing the Lakeshore District's and the Lower Lake district's parcel tax, and replace with an annual parcel tax of $4/unit of benefit, amounting to $120/year for single-family houses.","Fire, Police Protection/Emergency Medical",D,67.4,32.6,Pass,two-thirds,2017,Local,3/7/2017 0:00
Plumas,Peninsula Fire Protection District,PLF Debt,Parcel Tax: Renew annual parcel tax of $280/unimproved parcel & $295/improved parcel indefinitely to eliminate the tax from expiring on 6/30/2017.,"Fire, Police Protection/Emergency Medical",A,80.82,19.18,Pass,two-thirds,2017,Local,1/10/2017 0:00
San Mateo,Daly City,PLF Debt,Parcel Tax: Adopt tax for 5 years of $162/parcel for police and fire departments.,"Fire, Police Protection/Emergency Medical",V,46.92,53.08,Fail,two-thirds,2016,General,11/8/2016 0:00
Santa Cruz,Zayante Fire Protection District,PLF Debt,Parcel Tax: Replace the district's $35/parcel tax with $68/parcel tax.,"Fire, Police Protection/Emergency Medical",O,80.13,19.87,Pass,two-thirds,2016,General,11/8/2016 0:00
San Bernardino,Apple Valley Fire Protection District,PLF Debt,Parcel Tax: Continue and increase tax for 20 years of $126.90/residential unit and varying rates for vacant and commercial properties.,"Fire, Police Protection/Emergency Medical",A,77.45,22.55,Pass,two-thirds,2016,General,11/8/2016 0:00
Riverside,Idyllwild Fire Protection District,PLF Debt,Parcel Tax: Impose tax of $130/parcel with annual increases up to 3% for cost of living adjustments.,"Fire, Police Protection/Emergency Medical",W,56.74,43.26,Fail,Two-thirds,2016,General,11/8/2016 0:00
Contra Costa,Rodeo-Hercules Fire Protection District,PLF Debt,Parcel Tax: Replace an expiring property assessment with an $18 monthly parcel tax.,"Fire, Police Protection/Emergency Medical",O,78.15,21.85,Pass,two-thirds,2016,General,11/8/2016 0:00
Shasta,Cottonwood Fire Protection District,General Obligation Bond,"$4,000,000 ","Fire, Police Protection/Emergency Medical",C,68.31,31.69,Pass,two-thirds,2016,General,11/8/2016 0:00
Inyo,Southern Inyo Fire Protection District,PLF Debt,"Parcel Tax: Levy tax ranging from $3.70 to $1,000 depending on the property, on taxable property to fund fire and medical services, with an annual cost of living increase.","Fire, Police Protection/Emergency Medical",F,60.4,39.6,Fail,Two-thirds,2016,General,11/8/2016 0:00
Calaveras,Calaveras Consolidated Fire Protection District,PLF Debt,Parcel Tax: Impose parcel tax of $96/residential unit for fire protection and emergency services.,"Fire, Police Protection/Emergency Medical",B,45.03,54.97,Fail,two-thirds,2016,General,11/8/2016 0:00
Monterey,Aromas Tri-County Fire Protection District,PLF Debt,Parcel Tax: Impose tax at a rate of $230/improved parcel to fund paramedic services.,"Fire, Police Protection/Emergency Medical",S,47.93,52.07,Fail,Two-thirds,2016,General,11/8/2016 0:00
Santa Cruz,Boulder Creek Fire Protection District,PLF Debt,Parcel Tax: Impose tax for 30 years of $35/parcel.,"Fire, Police Protection/Emergency Medical",N,83.84,16.16,Pass,two-thirds,2016,General,11/8/2016 0:00
Alameda,Hayward,PLF Debt,Utility User Tax: Renew existing UTT of 5.5% for 20 years.,"Fire, Police Protection/Emergency Medical",D,73.33,26.67,Pass,two-thirds,2016,Primary,6/7/2016 0:00
Riverside,Hemet,PLF Debt,Sales tax: Impose 1% sales tax for 10 years.,"Fire, Police Protection/Emergency Medical",E,63.1,36.9,Fail,two-thirds,2016,Primary,6/7/2016 0:00
Kings,Kings County,PLF Debt,Sales Tax: Increase sales tax by 0.25%,"Fire, Police Protection/Emergency Medical",K,66.29,33.71,Fail,two-thirds,2016,Primary,6/7/2016 0:00
San Francisco,San Francisco City & County,General Obligation Bond,"$350,000,000 ","Fire, Police Protection/Emergency Medical",Prop A,79.26,20.74,Pass,two-thirds,2016,Primary,6/7/2016 0:00
San Mateo,San Mateo County,PLF Debt,Parcel Tax: Extend parcel tax of $65 per parcel for 4 years.,"Fire, Police Protection/Emergency Medical",G,76.2,23.8,Pass,two-thirds,2016,Primary,6/7/2016 0:00
Tehama,Corning,PLF Debt,Sales Tax: Increase 1/2 of 1%,"Fire, Police Protection/Emergency Medical",A,64.54,35.46,Pass,Majority,2016,Primary,6/7/2016 0:00
Sacramento,Isleton,PLF Debt,Sales Tax: Increase sales tax by 1/2 % for 5 years.,"Fire, Police Protection/Emergency Medical",B,72.29,27.71,Pass,two-thirds,2016,Primary,6/7/2016 0:00
Alameda,Piedmont,PLF Debt,Parcel Tax: Increase in maximum parcel tax.,"Fire, Police Protection/Emergency Medical",F,69.97,30.03,Pass,two-thirds,2016,Primary,6/7/2016 0:00
Kern,Bear Valley Community Services District,PLF Debt,Parcel Tax: $247 per parcel,"Fire, Police Protection/Emergency Medical",G,58.93,41.07,Fail,two-thirds,2016,Primary,6/7/2016 0:00
San Luis Obispo,Cayucos Fire Protection District,PLF Debt,Parcel Tax: Increase parcel tax to $125 per unit.,"Fire, Police Protection/Emergency Medical",C-16,36.13,63.87,Fail,two-thirds,2016,Primary,6/7/2016 0:00
San Bernardino,Morongo Valley Community Services District,PLF Debt,Parcel Tax: Replace the district's 3% benefit assessment property tax with an annual $350 parcel tax beginning 2016-2017 to continue indefinitely.,"Fire, Police Protection/Emergency Medical",E,39.5,60.5,Fail,two-thirds,2016,Primary,6/7/2016 0:00
San Bernardino,Running Springs Water District,PLF Debt,Parcel Tax: Up to $158 per parcel/per year by 2018.,"Fire, Police Protection/Emergency Medical",B,45.62,54.38,Fail,two-thirds,2015,Local,11/3/2015 0:00
Trinity,Trinity County,PLF Debt,Hotel Tax: Increase hotel tax to 10%.,"Fire, Police Protection/Emergency Medical",W,59.08,40.92,Fail,two-thirds,2015,Local,11/3/2015 0:00
Inyo,Southern Inyo Fire Protection District,PLF Debt,Parcel Tax: Increase parcel tax to $38.64 plus $1.50 per acre for single- family residential parcel.,"Fire, Police Protection/Emergency Medical",E,52.78,47.22,Fail,two-thirds,2015,Local,11/3/2015 0:00
Humboldt,Arcata Fire Protection District,PLF Debt,Parcel Tax: $24 per unit.,"Fire, Police Protection/Emergency Medical",A,44.62,55.48,Fail,two-thirds,2015,Local,11/3/2015 0:00
Nevada,Higgins Fire Protection District,PLF Debt,Parcel Tax: $25 per year/ per parcel.,"Fire, Police Protection/Emergency Medical",V,59.16,40.84,Fail,two-thirds,2015,Local,8/25/2015 0:00
Monterey,Greenfield Fire Protection District,PLF Debt,Parcel Tax: $73 per year/ per parcel.,"Fire, Police Protection/Emergency Medical",U,62.36,37.64,Fail,two-thirds,2015,Local,8/25/2015 0:00
San Joaquin,Clements Rural Fire Protection District,PLF Debt,"Parcel Tax: $10 per year for unstable lots, $25 per year for vacant residential lots, $50 per year / per parcel for miscellaneous city property.","Fire, Police Protection/Emergency Medical",J,45.13,54.87,Fail,two-thirds,2015,Local,8/25/2015 0:00
Multiple,Southern Cascades Community Service District,PLF Debt,Parcel Tax: $65 per year/ per parcel,"Fire, Police Protection/Emergency Medical",C,66.13,33.87,Fail,two-thirds,2015,Local,5/5/2015 0:00
Santa Barbara,Carpinteria-Summerland Fire Protection District,General Obligation Bond,"$10,650,000 ","Fire, Police Protection/Emergency Medical",Z,54.24,45.76,Fail,55%,2015,Local,5/5/2015 0:00
Yolo,Elkhorn Fire Protection District,PLF Debt,Parcel Tax: $2.50 per year/ per acre.,"Fire, Police Protection/Emergency Medical",W,81.8,18.2,Pass,two-thirds,2015,Local,3/3/2015 0:00
Fresno,Coalinga,PLF Debt,Utility Users Tax: Enact a tax of 5.5%.,"Fire, Police Protection/Emergency Medical",P,28,72,Fail,two-thirds,2014,General,11/4/2014 0:00
Alameda,Oakland,PLF Debt,Parcel Tax and Parking Tax: Renew parcel tax ranging between $51.09 and $99.77 per property unit for 10 years and continue to impose a parking tax of 8.5% for 10 years.,"Fire, Police Protection/Emergency Medical",Z,77.5,22.5,Pass,two-thirds,2014,General,11/4/2014 0:00
Fresno,Parlier,PLF Debt,Parcel Tax: Levy parcel tax as set forth in Council Resolution 2014-44 for 5 years,"Fire, Police Protection/Emergency Medical",S,59.5,40.5,Fail,two-thirds,2014,General,11/4/2014 0:00
Mendocino,Fort Bragg,PLF Debt,Parcel Tax: Increase tax from $18 to $22 per unit and extend tax for 10 years.,"Fire, Police Protection/Emergency Medical",O,77.9,22.1,Pass,two-thirds,2014,General,11/4/2014 0:00
Fresno,Orange Cove,PLF Debt,"Parcel Tax: Levy annual $95 parcel tax for single-family homes and specified amounts for multifamily, commercial, agricultural, and industrial parcels.","Fire, Police Protection/Emergency Medical",O,67.6,32.4,Pass,two-thirds,2014,General,11/4/2014 0:00
Marin,Larkspur,PLF Debt,Parcel Tax: Continue parcel tax of $75 per parcel unit for 4 years.,"Fire, Police Protection/Emergency Medical",L,68.8,31.2,Pass,two-thirds,2014,General,11/4/2014 0:00
Marin,"Fairfax, Town of",PLF Debt,Parcel Tax: Continue parcel tax of $75 per parcel unit for 4 years.,"Fire, Police Protection/Emergency Medical",K,72.5,27.5,Pass,two-thirds,2014,General,11/4/2014 0:00
Marin,Ross,PLF Debt,Parcel Tax: Continue parcel tax of $75 per parcel unit for 4 years.,"Fire, Police Protection/Emergency Medical",M,75.6,24.4,Pass,two-thirds,2014,General,11/4/2014 0:00
Marin,San Anselmo,PLF Debt,Parcel Tax: Continue parcel tax of $75 per parcel unit for 4 years.,"Fire, Police Protection/Emergency Medical",N,69.6,30.4,Pass,two-thirds,2014,General,11/4/2014 0:00
Ventura,Santa Paula,Sales Tax Revenue Bond,Sales Tax: Imposing 1% sales tax.,"Fire, Police Protection/Emergency Medical",F,57.7,42.3,Fail,two-thirds,2014,General,11/4/2014 0:00
Lake,Lake Valley Fire Protection District (CSCDA),PLF Debt,Parcel Tax: Replace the existing special tax with tax of $120.00 per parcel (with annual inflation adjustment not to exceed 3%).,"Fire, Police Protection/Emergency Medical",H,34.4,65.6,Fail,two-thirds,2014,General,11/4/2014 0:00
Lassen,Spalding Community Services District,Sales Tax Revenue Bond,Parcel Tax: Impose $65 special property tax.,"Fire, Police Protection/Emergency Medical",A,37,63,Fail,two-thirds,2014,General,11/4/2014 0:00
Mendocino,Albion Little River Fire Protection District,PLF Debt,Parcel Tax: Increase tax from $40 to $75 per unit.,"Fire, Police Protection/Emergency Medical",M,82.6,17.4,Pass,two-thirds,2014,General,11/4/2014 0:00
Shasta,Cottonwood Fire Protection District,General Obligation Bond,"$4,000,000 ","Fire, Police Protection/Emergency Medical",D,65,35,Fail,two-thirds,2014,General,11/4/2014 0:00
Siskiyou,Happy Camp Fire Protection District,PLF Debt,Parcel Tax: Impose annual parcel tax of $39 per improved parcel and $12 per unimproved parcel for 5 years.,"Fire, Police Protection/Emergency Medical",G,67.6,32.4,Pass,two-thirds,2014,General,11/4/2014 0:00
San Diego,Julian Cuyamaca Fire Protection District,PLF Debt,Parcel Tax: Impose tax from $197 to $500 on parcels with an existing structure and from $9.50 to $43 on vacant parcels.,"Fire, Police Protection/Emergency Medical",P,46.1,53.9,Fail,two-thirds,2014,General,11/4/2014 0:00
Marin,Kentfield Fire Protection District,PLF Debt,Parcel Tax: Continue parcel tax of $75 per parcel unit for 4 years.,"Fire, Police Protection/Emergency Medical",Q,72.2,27.8,Pass,two-thirds,2014,General,11/4/2014 0:00
Marin,Marin County Service Area No 27,PLF Debt,Parcel Tax: Continue parcel tax of $75 per parcel unit for 4 years.,"Fire, Police Protection/Emergency Medical",P,67.8,32.2,Pass,two-thirds,2014,General,11/4/2014 0:00
Sonoma,Monte Rio Fire Protection District,PLF Debt,"Parcel Tax: Levy parcel tax: $60-single family residential properties; $39-campsites, mobile home spaces, multi-family residential units and vacant parcels; and $1/acre for timberland; maximum rates from $.04 to $.09 per sq. ft. for lodging, commercial and industrial properties.","Fire, Police Protection/Emergency Medical",S,65.5,34.5,Fail,two-thirds,2014,General,11/4/2014 0:00
Yuba,Olivehurst Public Utilities Fire Service Area,PLF Debt,Parcel Tax: Levy tax of $120/parcel,"Fire, Police Protection/Emergency Medical",X,48.5,51.5,Fail,two-thirds,2014,General,11/4/2014 0:00
Mono,Paradise Fire Protection District,PLF Debt,Parcel Tax: Increase parcel tax for FY 2015-16: improved residential: $100 to $240; unimproved: $36 to $86; unimproved commercial: $257 to $617. Rates to either increase or decrease in future fiscal years based on the consumer price index rate changes.,"Fire, Police Protection/Emergency Medical",F,80.7,19.4,Pass,two-thirds,2014,General,11/4/2014 0:00
Marin,Sleepy Hollow Fire Protection District,PLF Debt,Parcel Tax: Continue parcel tax of $75 per parcel unit for 4 years.,"Fire, Police Protection/Emergency Medical",S,66.8,33.2,Pass,two-thirds,2014,General,11/4/2014 0:00
Riverside,Desert Hot Springs,PLF Debt,Parcel Tax: Increase existing parcel tax on vacant land to $372.68 per parcel.,"Fire, Police Protection/Emergency Medical",F,61.48,38.52,Fail,two-thirds,2014,Primary,6/3/2014 0:00
Santa Cruz,Watsonville,Sales Tax Revenue Bond,Sales Tax: Enact a 1/2› cent sales tax for 7 yrs.,"Fire, Police Protection/Emergency Medical",G,67.22,32.78,Pass,two-thirds,2014,Primary,6/3/2014 0:00
Fresno,Parlier,PLF Debt,Parcel Tax: Levy a parcel tax for 5 yrs.,"Fire, Police Protection/Emergency Medical",S,64.19,35.81,Fail,two-thirds,2014,Primary,6/3/2014 0:00
San Bernardino,Apple Valley Fire Protection District,PLF Debt,"Parcel Tax: Continue current fire suppression special tax until 6/30/2034, while upwardly adjusting its rate on dwelling units and other properties by $1.99/month.","Fire, Police Protection/Emergency Medical",G,59.38,40.62,Fail,two-thirds,2014,Primary,6/3/2014 0:00
Mendocino,Brooktrails Township Community Services District,PLF Debt,Parcel Tax: Amend Ordinance Nos. 29 and 126 to increase the special tax for fire protection and prevention beginning with FY starting 7/1/2014. Parcel tax to range from $99 to $300 per parcel.,"Fire, Police Protection/Emergency Medical",K,70.85,29.15,Pass,two-thirds,2014,Primary,6/3/2014 0:00
Nevada,North San Juan Volunteer Fire Department,PLF Debt,Parcel Tax: Impose a parcel tax of $61.50 per year per single-family residential unit commencing with the 2014/15 tax year.,"Fire, Police Protection/Emergency Medical",Q,79.53,20.47,Pass,two-thirds,2014,Primary,6/3/2014 0:00
El Dorado,Fallen Leaf Lake Community Services District,PLF Debt,"Parcel Tax:  Impose parcel tax not to exceed $660 per unit, subject to maximum inflation adjustment of 1.5% per year, and extend annual appropriations limit for four years.","Fire, Police Protection/Emergency Medical",A,75.68,24.32,Pass,two-thirds,2014,Primary,6/3/2014 0:00
Humboldt,Kneeland Fire Protection District,PLF Debt,Parcel Tax: Levy annual $80 per improved parcel and $60 unimproved parcel for fire protection.,"Fire, Police Protection/Emergency Medical",L,81.71,18.29,Pass,two-thirds,2014,Primary,6/3/2014 0:00
Siskiyou,Lake Shastina Community Service District,PLF Debt,"Parcel Tax: Replace existing police and fire special taxes with a public safety tax of $124 per parcel annually, subject to yearly adjustment for 6 yrs.","Fire, Police Protection/Emergency Medical",D,44.49,55.51,Fail,two-thirds,2014,Primary,6/3/2014 0:00
Lassen,Big Valley,PLF Debt,Parcel Tax: Impose tax of $65 per parcel annually depending on the passage of Measure X to form a community services district. (Measure X did not pass.),"Fire, Police Protection/Emergency Medical",Y,58.66,41.34,Fail,two-thirds,2014,Primary,6/3/2014 0:00
Fresno,Huron,PLF Debt,Service Sales Tax: Levy 1 cent sales tax.,"Fire, Police Protection/Emergency Medical",P,69.87,30.13,Pass,two-thirds,2013,Local,11/5/2013 0:00
Riverside,Canyon Lake,PLF Debt,Special Tax: Levy special tax of $204 per parcel with annual increases of up to 7% for a maximum of 5 years.,"Fire, Police Protection/Emergency Medical",D,49.55,50.45,Fail,two-thirds,2013,Local,11/5/2013 0:00
Shasta,Cottonwood Fire Protection District,General Obligation Bond,"$4,000,000 ","Fire, Police Protection/Emergency Medical",A,59.3,40.7,Fail,two-thirds,2013,Local,11/5/2013 0:00
Siskiyou,Happy Camp Fire Protection District,PLF Debt,Parcel Tax: Levy a $55 parcel tax for 10 years.,"Fire, Police Protection/Emergency Medical",C,59.3,40.7,Fail,two-thirds,2013,Local,11/5/2013 0:00
Marin,Kentfield Fire Protection District,PLF Debt,Parcel Tax: Increase parcel tax from $.06 cent to $.10 cent per building square foot.,"Fire, Police Protection/Emergency Medical",G,75.42,24.58,Pass,two-thirds,2013,Local,11/5/2013 0:00
Mendocino,Little Lake Fire Protection District,PLF Debt,Special Tax: Levy special tax of $14.00 per unit .,"Fire, Police Protection/Emergency Medical",I,39.22,61.78,Fail,two-thirds,2013,Local,11/5/2013 0:00
Humboldt,Fieldbrook Glendale Community Services District,PLF Debt,Parcel Tax: Levy parcel tax for $75 per assessor's parcel in Zone two for 10 years.,"Fire, Police Protection/Emergency Medical",K,85.8,14.2,Pass,two-thirds,2013,Local,11/5/2013 0:00
Marin,Marin Healthcare District,General Obligation Bond,"$394,000,000 ","Fire, Police Protection/Emergency Medical",F,68.49,31.51,Pass,two-thirds,2013,Local,11/5/2013 0:00
Plumas,Peninsula Fire Protection District,PLF Debt,Sales Tax: Levy tax of $280 per year on each unimproved parcels and $295 per year on each improved parcel of real property for 3 years.,"Fire, Police Protection/Emergency Medical",B,37.07,62.93,Fail,two-thirds,2013,Local,11/5/2013 0:00
Kern,Stallion Springs Community Services District,PLF Debt,Parcel Tax: Levy annual parcel up to $120 per parcel.,"Fire, Police Protection/Emergency Medical",B,61.53,38.47,Fail,two-thirds,2013,Local,6/4/2013 0:00
Plumas,Quincy Fire Protection District,PLF Debt,Parcel Tax: Levy parcel tax of $98.50 per year for four years.,"Fire, Police Protection/Emergency Medical",A,78.02,21.98,Pass,two-thirds,2013,Local,6/4/2013 0:00
Nevada,Higgins Fire Protection District,PLF Debt,Parcel Tax: Special property tax imposed on taxable real property for 10 years for reopening closed District fire stations and/or funding emergency medical services.,"Fire, Police Protection/Emergency Medical",O,65.57,34.43,Fail,two-thirds,2013,Local,5/7/2013 0:00
Marin,Ross,PLF Debt,Parcel Tax: Replace Prior Municipal Services Tax with a Special Tax for Four Years at a Lower Maximum Rate of $950 Per Dwelling Unit for Single Family Residences and $950 Per Parcel for All Other Uses,"Fire, Police Protection/Emergency Medical",D,74.2,25.8,Pass,two-thirds,2012,General,11/6/2012 0:00
Contra Costa,Contra Costa County Fire Protection District,PLF Debt,"Parcel Tax: Establish An Annual Parcel Tax of $75 Per Single Family Home, with Tiered Rates for Commercial and Industrial Property, for 7 Yrs","Fire, Police Protection/Emergency Medical",Q,53,47,Fail,two-thirds,2012,General,11/6/2012 0:00
Butte,El Medio Fire Protection District,General Obligation Bond,"$1,000,000 ","Fire, Police Protection/Emergency Medical",M,56.4,43.6,Fail,two-thirds,2012,General,11/6/2012 0:00
Lassen,Spalding Community Services District,PLF Debt,Parcel Tax: Repeal 1998 Parcel Tax and Replace It with An Annual Tax of $134 Per Improved Parcel and $44 Per Unimproved Parcel,"Fire, Police Protection/Emergency Medical",V,45.2,54.8,Fail,two-thirds,2012,General,11/6/2012 0:00
San Luis Obispo,Cayucos Fire Protection District,PLF Debt,Parcel Tax: Repeal the Current 1982 Special Tax and Impose a New $25 Per Parcel Special Tax,"Fire, Police Protection/Emergency Medical",C-12,69.1,30.9,Pass,two-thirds,2012,General,11/6/2012 0:00
Sacramento,Citrus Heights,PLF Debt,Utility Users Tax: Increase the Current Rate by 1.75% for 10 Yrs,"Fire, Police Protection/Emergency Medical",K,44.1,55.9,Fail,two-thirds,2012,General,11/6/2012 0:00
Placer,Newcastle Fire Protection District,PLF Debt,Parcel Tax: Reduce Tax from $146.46 Per Taxable Parcel to $30 Per Parcel,"Fire, Police Protection/Emergency Medical",K,60.3,39.7,Fail,two-thirds,2012,General,11/6/2012 0:00
Santa Clara,Black Mountain Fire & Emergency Response Zone,PLF Debt,"Parcel Tax: Levy Annual Tax of $30 Per Improved Parcel, with Lower Amounts for Unimproved Parcels and Add'l Parcels Beyond the First Parcel Beginning FY 2013/2014","Fire, Police Protection/Emergency Medical",P,47.9,52.1,Fail,two-thirds,2012,General,11/6/2012 0:00
Sonoma,Rancho Abode Fire Protection District,PLF Debt,Parcel Tax: Levy an Additional Annual Maximum Tax of $60 Per Parcel for a Maximum of 8 Yrs,"Fire, Police Protection/Emergency Medical",Z,62.8,37.2,Fail,two-thirds,2012,General,11/6/2012 0:00
Alameda,Alameda,Sales Tax Revenue Bond,Sales Tax: Adopt an Add-on Sales Tax of 1/2% for 30 Years,"Fire, Police Protection/Emergency Medical",C,50.6,49.4,Fail,two-thirds,2012,Primary,6/5/2012 0:00
Fresno,Parlier,PLF Debt,Utility Users Tax: Establish a 5% Tax.,"Fire, Police Protection/Emergency Medical",S,41.4,58.6,Fail,two-thirds,2012,Primary,6/5/2012 0:00
San Luis Obispo,Arroyo Grande,General Obligation Bond,"$6,700,000 ","Fire, Police Protection/Emergency Medical",A-12,60.7,39.4,Fail,two-thirds,2012,Primary,6/5/2012 0:00
Marin,Belvedere,PLF Debt,"Parcel Tax: Extend the Existing Parcel Tax Levy of $605 Per Residential Dwelling Unit, $690 Per Occupancy In Commercial Structures, and a $122 Per Vacant Parcel from 7/1/2012 Through 6/30/2016","Fire, Police Protection/Emergency Medical",B,78.3,21.7,Pass,Majority,2012,Primary,6/5/2012 0:00
Mendocino,Brooktrails Township Community Services District,PLF Debt,"Parcel Tax: Levy the Following Parcel Tax - Single Family Residence $100, Duplex $150, Triplex $200, Fourplex $250, Multi-Familyplex $275, and  Commercial Use $300, Hotel-Motel $300, and Vacant Parcels $100","Fire, Police Protection/Emergency Medical",E,63.2,36.8,Fail,two-thirds,2012,Primary,6/5/2012 0:00
Tuolumne,Groveland Community Services District,PLF Debt,Parcel Tax: Levy a $107 Annual Parcel Tax on Improved Property and a $53 Annual Parcel Tax on Unimproved Property in the District,"Fire, Police Protection/Emergency Medical",D,41.1,58.9,Fail,two-thirds,2012,Primary,6/5/2012 0:00
Contra Costa,East Contra Costa Fire Protection District,PLF Debt,Parcel Tax: Levy a Parcel Tax of $197 on Each Parcel within the District with An Annual Cost of Living Adjustment Not to Exceed 3% and Terminating on 6/30/2023,"Fire, Police Protection/Emergency Medical",S,43.8,56.2,Fail,two-thirds,2012,Primary,6/5/2012 0:00
Nevada,Higgins Fire Protection District,PLF Debt,Parcel Tax: Increase Parcel Tax to $125 on Each Parcel within the District,"Fire, Police Protection/Emergency Medical",B,61.1,38.9,Fail,two-thirds,2012,Primary,6/5/2012 0:00
